¥i§ë¸ê,¤½¥q¥N½X,¶}½L»ù,³Ì°ª»ù,³Ì§C»ù,¦¬½L»ù,º¦¶^,¥»¯q¤ñ,¦¨¥æ¶q,¦P·~¥­§¡¥»¯q¤ñ,´Þ§Q²v,Á`¥«­È,¤µ¦~¥H¨Ó,¨CªÑ²b­È(¤¸),¨©¥L­È,¨C¤HÀç¦¬(¥a¤¸),¼Ð·Ç®t,¨CªÑÀç¦¬(¤¸),­t¶Å¤ñ¨Ò,ªÑ»ù²b­È¤ñ,"ªÑ¥»(»õ, ¥x¹ô)",Àç·~¤ò§Q²v,²{ª÷ªÑ§Q(¤¸),Àç·~§Q¯q²v,µ|«e²b§Q²v,¸ê²£³ø¹S²v,ªÑªFÅv¯q³ø¹S²v
§_,4904,74.0,74.0,72.9,73.4,-0.5,46.89,1762,36.37,5.11,239174,4.83,21.99,1.05,3060,0.79,6.46,45.01,3.34,325.85,33.16,3.75,15.59,15.76,2.01,3.7
§_,1504,17.0,17.1,16.75,16.85,-0.1,8.39,14875,15.82,5.1,33745,-38.55,26.73,0.34,790,1.47,6.09,37.84,0.63,200.27,23.41,0.86,7.33,8.89,1.02,1.58
§_,1231,34.7,35.55,34.7,35.4,1.2,4.62,309,22.54,5.08,5886,12.74,19.55,0.11,0,0.83,13.38,54.38,1.81,16.63,22.96,1.4,9.18,9.3,2.44,5.19
§_,1232,98.7,98.7,98.0,98.5,0.2,4.7,7,27.27,5.08,15757,15.14,22.48,0.11,11042,0.48,26.09,30.84,4.38,16.0,10.0,5.0,5.74,5.96,3.65,5.61
§_,1737,29.7,29.7,29.4,29.5,-0.05,9.93,223,22.54,5.08,5900,10.99,30.53,0.44,1538,0.77,3.75,15.03,0.97,20.0,40.35,1.5,16.18,14.55,1.19,1.45
§_,3045,110.5,110.5,109.5,110.5,0.0,19.65,3112,36.37,5.07,378002,8.23,21.53,0.85,2403,0.6,10.4,56.27,5.13,342.08,28.75,5.6,14.87,14.6,2.39,5.52
§_,3607,15.5,15.85,15.3,15.8,0.5,26.2,109,14.82,5.06,1922,-51.17,35.55,0.95,0,2.16,9.28,45.84,0.44,12.17,7.37,0.79999999,5.91,9.53,1.39,0.0
§_,2023,9.81,9.94,9.81,9.9,0.15,10.34,1666,35.73,5.05,18571,-14.8,15.16,0.48,4929,1.16,10.42,66.7,0.65,187.58,7.33,0.2,3.46,4.06,1.04,2.21
§_,4560,50.2,50.2,48.7,49.0,-0.75,39.61,222,15.82,5.05,3241,7.01,23.75,1.03,279,2.88,6.76,30.07,2.06,6.62,42.19,2.47553112,23.74,23.88,3.31,4.78
§_,1203,25.7,25.9,25.6,25.85,-0.05,3.25,28,22.54,5.03,6204,7.84,19.6,-0.01,799,0.86,6.79,37.82,1.32,24.0,32.21,1.3,16.38,17.44,2.37,3.81
