¥i§ë¸ê,¤½¥q¥N½X,¶}½L»ù,³Ì°ª»ù,³Ì§C»ù,¦¬½L»ù,º¦¶^,¥»¯q¤ñ,¦¨¥æ¶q,¦P·~¥­§¡¥»¯q¤ñ,´Þ§Q²v,Á`¥«­È,¤µ¦~¥H¨Ó,¨CªÑ²b­È(¤¸),¨©¥L­È,¨C¤HÀç¦¬(¥a¤¸),¼Ð·Ç®t,¨CªÑÀç¦¬(¤¸),­t¶Å¤ñ¨Ò,ªÑ»ù²b­È¤ñ,"ªÑ¥»(»õ, ¥x¹ô)",Àç·~¤ò§Q²v,²{ª÷ªÑ§Q(¤¸),Àç·~§Q¯q²v,µ|«e²b§Q²v,¸ê²£³ø¹S²v,ªÑªFÅv¯q³ø¹S²v
§_,2923,16.85,17.1,16.85,17.1,-0.1,17.53,2,30.3,2.11,29759,-5.21,27.91,0.79,2127,2.31,0.66,57.2,0.61,174.03,65.59,0.36,52.94,30.79,0.3,0.31
§_,1789,23.2,23.3,22.8,22.85,-0.35,10.07,342,38.85,2.1,18068,-34.55,13.39,0.45,1000,1.61,1.03,17.3,1.71,79.07,41.78,0.48,15.04,13.42,0.76,0.78
§_,8105,9.25,9.56,9.22,9.56,0.29,0.0,697,72.78,2.09,4221,-50.37,19.29,1.46,514,2.2,5.93,39.34,0.5,44.15,12.73,0.2,2.37,4.05,0.62,0.95
§_,1325,16.75,16.85,16.7,16.85,0.05,6.68,40,20.15,2.08,1437,-11.64,19.98,0.2,0,0.52,2.54,6.72,0.84,8.53,11.0,0.35,5.07,7.41,0.71,0.76
§_,6477,20.75,21.1,20.4,20.4,-0.35,0.0,740,72.78,2.06,1927,-10.64,18.31,1.36,1646,2.5,5.38,59.14,1.11,9.45,23.95,0.42,19.61,16.74,1.99,0.0
§_,3545,25.1,25.3,24.8,25.0,0.0,25.32,1584,53.15,2.05,7462,-17.95,37.56,0.93,0,2.28,8.9,25.14,0.67,29.85,24.44,0.5120503,1.27,2.79,0.52,0.71
§_,2033,9.83,9.92,9.83,9.92,0.09,10.45,19,35.73,2.02,800,10.34,11.93,0.49,1560,3.59,2.88,24.93,0.83,8.07,11.91,0.2,1.8,2.58,0.45,0.52
§_,6288,18.2,18.4,17.55,17.6,-0.8,0.0,1889,72.78,1.99,3012,0.0,12.95,1.29,833,0.0,5.05,44.9,1.36,17.11,20.15,0.34991300000000003,6.26,7.55,1.23,1.9
§_,3059,24.5,24.95,23.95,24.9,0.2,20.63,7743,72.78,1.98,6821,-19.78,32.49,0.86,0,3.18,11.26,44.35,0.77,27.39,12.15,0.49326215,1.7,3.97,0.51,0.86
§_,4545,25.5,25.75,25.1,25.2,-0.65,36.87,224,14.82,1.98,1940,-42.16,22.09,1.02,504,2.83,8.33,45.86,1.14,7.7,20.98,0.5,3.72,4.53,-0.15,-0.41
§_,1517,9.95,10.35,9.83,10.15,0.21,8.63,2478,15.82,1.97,2312,-11.2,14.39,0.36,440,1.09,3.4,28.72,0.71,22.78,11.51,0.2,-1.05,2.97,0.21,0.3
§_,3605,20.6,21.0,20.6,20.8,0.35,26.15,346,14.82,1.92,2546,-15.89,33.29,0.95,0,2.3,15.55,50.82,0.62,12.24,23.11,0.4,5.54,8.85,1.78,3.42
§_,6128,26.4,26.5,26.0,26.35,-0.1,0.0,164,16.63,1.9,3362,-32.26,26.09,1.17,2458,1.38,12.77,51.05,1.01,12.76,27.71,0.5,-2.46,-2.98,-0.08,-0.37
§_,1902,18.05,18.05,17.5,17.6,-0.45,10.15,212,11.48,1.89,7075,-6.18,15.18,0.46,494,1.46,2.1,28.98,1.16,40.2,19.38,0.33299999999999996,8.2,13.62,0.98,1.32
§_,6625,53.0,53.2,52.4,53.1,0.1,0.0,47,30.44,1.88,1885,0.0,18.64,1.4,1720,0.0,13.96,26.01,2.85,3.55,26.88,0.5,19.74,19.76,8.54,11.81
§_,9944,16.2,16.3,16.0,16.3,0.15,0.0,55,30.45,1.84,1778,-15.24,26.5,0.0,584,1.04,7.17,43.55,0.62,10.91,17.84,0.3,-2.71,-3.31,-0.47,0.0
§_,1809,11.05,11.1,10.85,10.9,-0.15,10.1,116,39.87,1.83,1821,-11.88,18.72,0.45,985,2.39,3.95,24.22,0.58,16.7,20.87,0.2,2.71,2.71,0.34,0.35
§_,8222,16.7,16.7,16.45,16.6,0.15,0.0,18,15.82,1.81,1138,-22.79,13.09,1.49,707,2.04,2.6,37.59,1.27,6.85,18.16,0.3,1.99,4.64,0.48,0.68
§_,3406,191.0,195.0,185.0,195.0,4.0,23.91,8128,72.78,1.79,19455,-27.1,75.32,0.89,283,4.05,23.82,39.45,2.59,9.98,37.75,3.5,17.15,15.42,2.32,3.63
§_,3532,115.5,116.5,113.0,116.5,2.0,25.03,1927,53.2,1.79,45184,-34.58,52.63,0.93,4166,4.11,10.99,11.14,2.21,38.78,45.4,2.08,40.51,41.15,6.13,7.04
§_,3622,16.0,16.75,15.95,16.75,1.5,26.35,408,72.78,1.79,2535,-16.46,28.88,0.96,0,2.34,1.69,8.77,0.58,15.13,19.03,0.3,-4.42,48.81,2.62,2.88
¬O,2612,28.6,28.6,28.0,28.2,-0.2,14.95,628,22.46,1.77,5569,-0.04,50.46,0.7,0,1.66,5.06,50.78,0.56,19.75,26.79,0.5,17.7,18.39,1.09,1.74
¬O,2704,22.6,22.65,22.5,22.65,0.05,15.49,39,53.92,1.77,8311,-0.83,28.29,0.72,396,0.5,1.9,12.23,0.8,36.69,38.65,0.4,5.23,32.75,1.76,2.01
§_,1598,28.3,28.35,28.25,28.35,0.1,9.15,128,38.85,1.76,2635,-35.8,18.46,0.39,0,1.18,14.61,70.05,1.54,9.3,30.58,0.5,4.04,4.49,0.86,2.39
§_,6235,17.2,17.2,16.75,16.95,0.05,0.0,351,16.63,1.76,2818,-19.25,13.47,1.26,0,2.22,6.63,48.66,1.26,16.63,22.39,0.29784221,7.76,8.99,1.9,3.5
§_,2049,218.0,221.5,216.5,218.5,2.0,10.51,3929,15.82,1.74,65673,-29.31,76.7,0.49,1327,3.24,27.79,50.13,2.85,30.06,40.74,3.5,25.7,25.2,3.73,7.93
§_,3054,22.95,23.0,22.9,23.0,0.4,20.18,103,53.2,1.74,2070,9.68,12.02,0.86,0,1.82,0.44,24.97,1.91,9.0,6.03,0.4,-32.71,-54.45,-1.46,-1.74
§_,4540,71.4,71.9,69.6,69.9,-1.5,36.54,400,15.82,1.72,6758,0.0,35.44,1.02,979,0.0,9.22,43.94,1.97,9.67,40.44,1.2,25.92,25.73,3.52,6.79
§_,1225,76.5,76.5,74.5,75.0,-0.4,4.44,56,22.54,1.67,16403,14.36,14.08,0.1,7296,1.36,13.18,46.78,5.33,21.87,5.6,1.25,0.8,1.1,0.46,0.71
§_,2901,24.3,24.3,23.95,24.25,0.2,17.1,5,22.45,1.67,1771,-6.62,11.8,0.77,1066,0.88,0.57,12.64,2.06,7.3,90.97,0.4061653,33.84,38.64,1.29,1.5
§_,1460,12.0,12.15,11.9,12.05,0.1,8.02,278,30.13,1.66,6023,-13.12,10.88,0.31,469,1.42,4.7,57.53,1.11,49.98,17.78,0.0,1.79,2.62,0.39,0.56
§_,1219,18.15,18.2,18.1,18.2,-0.05,4.06,13,22.54,1.65,5861,3.64,11.71,0.09,3050,0.55,8.89,56.19,1.55,32.2,3.1,0.3,-5.37,-6.1,-1.62,0.0
§_,4912,151.0,155.0,148.5,151.5,2.0,47.5,407,14.82,1.65,5990,9.38,40.2,1.05,1852,3.87,44.77,68.85,3.77,3.95,22.02,2.5,12.84,11.22,3.06,8.93
§_,8429,18.3,18.6,17.75,18.3,0.2,0.0,1488,22.45,1.64,3342,-21.46,38.09,1.53,0,2.44,4.16,14.9,0.48,18.26,26.31,0.13,12.84,12.34,0.83,0.98
§_,1604,12.5,12.65,12.5,12.5,0.0,9.21,348,14.36,1.6,6050,-3.92,16.04,0.39,1633,0.99,4.47,45.22,0.78,48.4,15.18,0.2,1.82,22.44,2.66,4.65
¬O,2478,49.75,50.2,49.1,49.85,0.85,13.44,3196,14.82,1.6,9555,34.04,29.43,0.66,1145,5.07,10.86,33.87,1.69,19.17,47.51,0.8,35.68,37.69,8.71,13.13
§_,3022,31.95,32.15,31.5,32.1,0.4,18.53,76,16.63,1.56,9485,-23.39,25.99,0.83,913,1.68,5.3,27.53,1.24,29.55,33.3,0.5,14.34,26.24,2.47,3.44
§_,2059,336.0,336.0,319.0,325.5,-5.5,10.51,148,14.82,1.54,31019,-17.71,100.64,0.49,1088,1.72,11.01,12.94,3.23,9.53,51.84,5.0,38.97,44.51,3.69,4.26
§_,4720,13.0,13.0,13.0,13.0,-0.2,41.02,15,22.47,1.54,1151,-7.3,12.0,1.04,0,0.95,9.82,58.04,1.08,8.86,17.6,0.2,1.41,1.25,0.37,0.77
§_,8261,28.75,30.0,28.75,29.15,0.6,0.0,2248,53.15,1.54,2371,-7.14,17.18,1.49,6912,3.69,9.86,41.1,1.7,8.13,19.62,0.45,8.8,8.31,2.29,3.73
§_,8046,32.85,33.8,32.2,32.6,-0.3,0.0,8506,14.82,1.53,21065,27.19,45.63,1.43,710,2.66,12.25,21.51,0.71,64.62,3.76,0.5,-1.36,0.59,0.17,0.16
§_,9914,129.0,133.5,128.5,130.5,3.0,0.0,1341,30.44,1.53,39017,5.87,40.9,2.32,2544,2.13,23.68,45.57,3.19,29.9,13.63,2.0,5.79,12.34,2.95,5.4
¬O,2611,6.74,6.88,6.61,6.71,0.04,14.92,92,22.46,1.49,1194,-3.73,14.53,0.7,476,1.63,1.36,33.72,0.46,17.8,21.5,0.1,-3.13,6.27,0.42,0.51
§_,6451,59.0,63.3,57.8,63.3,5.7,0.0,2944,53.15,1.48,6675,-54.5,50.64,1.34,0,3.9,11.67,45.51,1.25,10.54,21.21,0.94,4.84,10.11,1.12,1.95
§_,910322,25.3,25.3,25.25,25.25,-0.25,0.0,2,0.0,1.46,649,-11.81,15.31,1.69,1269,2.47,12.88,58.36,1.65,0.26,32.09,0.3678975,6.66,6.74,1.51,3.3
§_,3338,20.45,20.95,20.45,20.8,0.2,22.77,177,14.82,1.44,1799,-27.68,15.37,0.89,496,2.12,11.72,56.57,1.35,8.65,22.41,0.3004948,6.81,8.56,2.79,6.7
§_,3661,80.0,80.0,73.6,75.6,-3.6,26.46,3456,53.15,1.41,4663,-15.67,49.88,0.96,2526,3.97,14.36,26.45,1.52,6.17,41.84,1.06660468,12.2,13.39,2.34,3.09
§_,6415,450.0,450.0,425.0,425.0,-45.0,0.0,556,53.15,1.41,37978,-36.99,135.76,1.32,3899,2.63,28.39,9.26,3.13,8.94,47.47,5.9798871,21.98,22.99,4.12,4.7
§_,4961,36.65,36.85,35.5,36.15,-0.7,57.71,761,53.15,1.38,5795,0.0,20.14,1.06,0,0.0,17.46,52.88,1.79,16.03,21.27,0.50033535,6.52,5.84,2.14,4.38
§_,3016,36.4,36.95,35.8,36.8,0.8,18.37,4124,53.15,1.36,10098,14.04,14.48,0.81,0,4.21,4.64,31.75,2.54,27.44,20.03,0.5,14.3,14.59,2.78,4.04
§_,5269,451.0,455.0,435.0,448.0,7.0,73.24,1552,53.15,1.34,26897,24.78,33.67,1.09,0,3.67,17.39,25.81,13.31,6.0,47.68,6.0,32.24,32.1,10.18,14.67
§_,6226,9.0,9.05,8.9,9.02,0.1,0.0,342,49.65,1.33,1037,-9.62,10.5,1.25,388,2.53,2.88,49.32,0.86,11.5,29.03,0.12,8.34,5.88,0.72,1.2
¬O,2506,11.45,11.45,11.3,11.45,0.05,13.94,5,30.3,1.31,4431,8.43,18.81,0.68,0,1.22,0.65,46.61,0.61,38.7,42.06,0.15,-1.67,20.13,0.34,0.36
§_,1446,23.5,23.5,23.45,23.5,0.0,7.69,43,30.13,1.28,3236,11.11,11.72,0.28,193,1.57,0.9,57.1,2.01,13.77,5.7,0.3,-16.4,-7.89,-0.26,-0.67
§_,1459,8.03,8.09,8.01,8.05,0.0,7.99,187,30.13,1.24,2887,-20.92,11.01,0.31,0,1.64,2.73,55.88,0.73,35.86,0.5,0.1,-4.06,-3.5,-0.16,-0.77
§_,3257,40.6,41.4,40.6,41.2,0.25,21.88,35,53.15,1.21,2858,-13.23,24.27,0.88,2096,2.25,2.66,10.15,1.7,6.94,43.87,0.5,7.34,8.99,0.7,0.78
§_,3312,10.25,10.4,10.1,10.2,-0.05,22.33,264,11.42,1.18,1125,15.12,11.98,0.89,16296,2.6,24.52,64.81,0.85,11.03,4.47,0.0,1.69,1.77,1.12,2.74
§_,3698,17.5,17.65,17.25,17.5,-0.05,27.31,1052,72.78,1.14,7501,-33.71,22.25,0.97,936,3.0,5.88,27.42,0.79,42.87,17.37,0.20028144,2.74,4.68,0.71,0.96
§_,2314,18.3,18.3,17.8,17.8,-0.4,11.26,550,36.37,1.12,4059,-40.29,12.04,0.52,1962,2.28,9.92,54.9,1.48,22.8,11.75,0.2,1.36,1.53,0.47,0.0
§_,8150,26.8,27.1,26.55,26.9,0.2,0.0,4626,53.15,1.12,20253,-6.66,24.13,1.48,900,2.21,6.88,47.73,1.11,75.29,19.5,0.30010904,12.71,11.28,1.45,2.44
§_,2032,9.05,9.11,9.0,9.11,0.06,10.44,36,35.73,1.1,1189,-7.98,12.55,0.49,3698,1.69,5.84,18.79,0.73,13.05,1.94,0.1,-1.05,-0.94,-0.29,-0.36
§_,2936,28.45,28.65,28.45,28.65,-0.25,17.63,6,22.45,1.05,2193,-9.34,35.67,0.79,3548,1.47,38.81,39.59,0.8,7.66,29.8,0.30197224,0.63,0.28,0.54,0.57
§_,1734,19.4,19.4,19.15,19.15,-0.15,9.91,63,38.67,1.04,3212,-10.72,17.5,0.43,0,1.44,3.15,41.36,1.09,16.77,36.23,0.2,-8.47,-7.44,-0.77,-1.43
§_,5607,19.2,19.25,19.15,19.15,-0.1,180.0,183,22.46,1.04,3255,15.02,22.24,1.12,898,2.21,2.55,36.64,0.86,17.0,53.96,0.2,30.76,30.47,1.59,2.37
§_,1533,29.6,30.3,29.6,30.1,-0.05,8.88,24,15.82,1.0,2966,-26.23,24.38,0.38,645,1.56,6.66,47.72,1.23,9.85,32.5,0.3,4.92,7.88,0.6,1.0
§_,2417,10.2,10.7,10.2,10.45,0.3,12.41,5321,16.73,0.96,2016,-22.54,14.54,0.6,0,2.36,4.13,16.45,0.72,19.29,45.91,0.1,1.73,2.9,0.29,0.34
§_,8427,37.3,37.8,37.0,37.8,0.5,0.0,10,30.44,0.93,3941,-14.5,35.99,1.53,100,1.27,2.72,44.15,1.05,10.43,18.97,0.35,-59.62,-79.88,-2.7,-4.7
¬O,1736,32.2,33.5,32.1,33.4,1.2,9.92,210,38.85,0.9,10154,-5.62,25.95,0.44,0,2.17,17.84,65.18,1.29,30.4,47.95,0.3,2.04,4.57,0.98,2.43
§_,2013,28.2,28.45,27.7,27.9,-0.1,10.27,1078,35.73,0.86,5580,43.15,21.88,0.47,7100,3.51,25.87,75.08,1.28,20.0,1.81,0.24,0.03,0.7,0.27,0.76
§_,2062,34.8,35.1,34.2,34.95,0.05,10.52,425,30.44,0.86,5712,-4.92,32.82,0.49,349,1.35,10.38,57.82,1.06,16.34,14.43,0.3,2.96,6.06,0.64,1.21
§_,1262,36.3,38.0,36.1,36.65,0.45,5.47,1387,30.44,0.82,5987,-42.89,63.0,0.14,967,3.84,5.08,8.64,0.58,16.34,-2.08,0.3,-12.48,-12.22,-0.75,-0.82
§_,1626,12.35,12.4,12.25,12.25,-0.1,9.48,26,14.36,0.82,1505,-48.7,19.01,0.41,324,2.03,16.36,70.24,0.64,12.28,15.38,0.1,-5.24,-5.41,-1.18,-4.76
§_,1783,20.45,20.55,20.3,20.45,0.15,10.05,154,38.85,0.74,1449,-9.7,12.02,0.45,0,3.4,1.63,25.52,1.7,7.08,44.51,0.15033847,16.0,14.83,1.64,2.14
§_,1110,13.9,13.95,13.75,13.75,-0.15,3.07,6,16.27,0.73,7865,-6.14,15.05,-0.05,0,0.67,0.67,7.37,0.91,57.2,6.8,0.1,0.35,10.01,0.38,0.41
§_,1236,14.0,14.0,13.75,13.75,-0.15,5.31,12,22.54,0.73,1490,-20.52,16.59,0.12,0,1.0,4.72,32.44,0.83,10.83,23.28,0.1,-3.95,-3.44,-0.66,-1.02
¬O,1109,15.6,15.6,14.6,14.8,0.6,2.85,506,16.27,0.68,5061,11.78,17.2,-0.11,0,1.59,5.58,20.25,0.86,34.2,32.43,0.1,26.13,25.1,4.2,5.21
§_,6153,31.1,31.45,30.05,30.5,-0.6,0.0,17282,14.82,0.66,12200,-23.56,26.5,1.18,0,3.89,10.57,59.88,1.15,40.0,16.28,0.2,5.14,6.7,0.98,2.04
§_,3025,18.4,20.05,18.3,20.05,1.8,18.71,1001,36.37,0.64,1422,1.78,10.51,0.83,0,3.71,1.85,24.41,1.91,7.09,40.79,0.128,-0.23,1.64,0.2,0.24
§_,2444,17.15,17.6,16.9,17.0,0.0,13.01,1907,36.37,0.61,1794,-59.11,10.12,0.62,376,3.29,2.2,20.9,1.68,10.56,13.11,0.10392635,-4.04,-6.74,-1.24,-1.61
§_,1337,6.48,6.5,6.44,6.46,-0.03,6.73,246,20.15,0.45,1737,-48.36,34.27,0.2,0,1.71,1.25,4.83,0.19,26.9,-13.94,0.0028905000000000003,-46.59,-54.12,-1.81,-1.92
§_,9958,85.3,85.9,82.0,82.2,-1.6,0.0,10910,35.73,0.36,16897,289.39,17.08,0.0,0,4.89,2.08,57.74,4.81,20.56,15.43,0.3,4.56,2.49,0.26,2.0
¬O,1786,58.6,59.8,58.1,58.1,0.3,10.06,1005,38.85,0.34,3085,62.02,19.78,0.45,0,3.75,1.43,38.58,2.94,5.31,58.67,0.2,14.09,23.97,1.0,1.62
¬O,2712,34.05,34.05,34.05,34.05,0.0,15.66,1,53.92,0.33,3575,25.69,11.53,0.72,387,2.17,1.35,16.92,2.95,10.5,37.36,0.11199999999999999,15.9,15.78,1.57,1.88
§_,6552,86.9,91.5,86.0,91.5,4.6,0.0,3508,53.15,0.33,9150,51.92,17.68,1.38,0,3.44,5.11,23.01,5.18,10.0,20.19,0.3,12.1,12.86,2.47,3.06
§_,6131,13.35,13.35,13.35,13.35,-1.45,0.0,2621,32.92,0.16,1361,-27.85,10.27,1.17,0,1.4,-0.61,26.77,1.3,10.19,0.0,0.01079426,0.0,0.0,-6.02,-7.6
§_,1108,7.28,7.29,7.23,7.23,0.0,2.3,106,16.27,0.0,2926,-13.62,10.76,-0.13,0,0.78,1.92,39.48,0.67,40.47,0.93,0.0,-5.35,-6.31,-0.5,0.0
¬O,1201,21.1,21.3,20.9,21.1,-0.05,3.17,612,22.54,0.0,10678,-0.24,12.13,-0.05,1780,1.51,11.23,72.53,1.74,50.61,33.53,0.0,5.82,20.11,3.6,13.73
§_,1213,9.73,9.81,9.7,9.76,-0.18,3.42,66,27.27,0.0,553,-37.44,12.33,0.06,1008,1.15,2.53,20.32,0.79,5.66,10.02,0.0,0.0,0.4,0.05,0.05
¬O,1217,6.87,6.87,6.81,6.84,-0.03,3.73,290,22.54,0.0,3382,-8.68,11.27,0.08,0,1.06,3.15,51.83,0.61,49.45,32.62,0.0,5.86,4.75,0.75,1.09
§_,1309,10.35,10.5,10.35,10.45,0.0,6.0,1909,20.15,0.0,3424,-31.25,12.79,0.17,9016,2.54,17.69,57.02,0.82,32.77,3.54,0.0,0.58,0.28,0.14,0.03
§_,1314,11.25,11.45,11.2,11.4,0.4,6.18,20953,20.15,0.0,30778,-25.73,24.87,0.18,0,2.0,4.06,23.32,0.46,269.99,16.39,0.0,11.88,15.15,1.92,2.47
§_,1321,25.9,26.0,25.6,25.8,-0.15,6.43,33,20.15,0.0,5862,-11.95,24.62,0.19,0,0.95,4.97,53.13,1.05,22.72,4.63,0.0,-2.51,4.87,0.5,0.98
§_,1413,12.15,12.15,11.8,11.85,-0.2,7.13,93,30.13,0.0,1210,30.36,8.1,0.22,4704,3.19,7.19,51.14,1.46,10.21,6.92,0.0,4.52,4.81,2.17,4.37
§_,1417,4.41,4.44,4.37,4.43,0.02,7.24,347,30.13,0.0,1683,-5.94,8.99,0.23,0,2.24,0.77,19.29,0.49,37.99,15.63,0.0,-36.94,-21.24,-1.43,-1.8
§_,1423,10.35,10.35,10.25,10.35,0.05,7.3,116,30.13,0.0,1432,22.63,17.26,0.24,1727,2.05,1.22,19.28,0.6,13.84,16.8,0.0,11.61,24.63,1.31,1.51
§_,1418,7.5,7.5,7.5,7.5,-0.2,7.25,100,30.13,0.0,351,-5.66,1.77,0.24,0,3.44,2.57,94.83,4.24,4.68,-20.63,0.0,-36.0,-40.9,-2.62,-45.89
§_,1432,8.01,8.15,8.01,8.15,-0.02,7.39,3,22.44,0.0,1369,-41.99,10.71,0.25,0,1.52,2.39,28.18,0.76,16.79,57.18,0.0,-5.92,-4.2,-0.6,-0.86
¬O,1435,5.36,5.42,5.36,5.42,0.06,7.4,118,30.42,0.0,758,1.12,7.14,0.25,249,1.2,0.05,16.82,0.76,13.98,93.82,0.0,-59.8,-140.83,-0.88,-1.05
§_,1439,32.0,34.95,31.8,34.95,3.15,7.47,1806,30.13,0.0,3215,69.25,20.3,0.26,3493,3.8,0.68,8.18,1.72,9.2,3.45,0.0,-44.66,-46.76,-1.29,-1.41
¬O,1438,6.71,6.71,6.71,6.71,-0.61,7.46,0,30.3,0.0,687,24.26,5.2,0.26,0,2.61,0.0,11.69,1.29,10.24,40.0,0.0,-38040.0,-24820.0,-0.21,-0.23
§_,1441,12.15,12.45,12.1,12.3,0.2,7.49,156,30.13,0.0,764,76.72,20.31,0.27,0,2.96,4.31,39.59,0.61,6.21,2.75,0.0,-13.5,-17.38,-2.17,-3.84
§_,1447,8.19,8.19,8.09,8.11,-0.05,7.7,795,30.13,0.0,7416,-11.07,12.55,0.28,0,1.48,5.53,46.88,0.65,91.45,4.25,0.0,0.22,2.73,0.66,1.08
§_,1449,5.1,5.1,4.9,4.95,-0.02,7.71,239,30.13,0.0,594,-9.17,6.11,0.28,0,2.1,5.23,84.01,0.81,12.0,7.99,0.0,-6.26,12.87,1.85,9.03
§_,1443,6.45,6.99,6.45,6.99,-0.04,7.54,44,30.13,0.0,946,37.06,8.42,0.28,0,2.38,2.35,84.43,0.83,13.53,-3.47,0.0,-30.25,-166.13,-10.58,-90.71
§_,1453,8.8,8.8,8.73,8.78,0.06,7.82,31,30.13,0.0,787,-13.07,14.85,0.29,0,1.58,0.08,1.15,0.59,8.97,-19.79,0.0,-135.31,75.61,0.31,0.32
§_,1456,6.99,6.99,6.99,6.99,0.1,7.95,8,30.13,0.0,655,-32.46,12.08,0.3,0,1.92,1.64,76.02,0.58,9.37,22.36,0.0,11.22,2.27,0.29,0.27
§_,1467,9.96,10.2,9.8,10.0,0.04,8.21,657,30.13,0.0,1682,-13.42,10.16,0.32,0,2.37,10.0,69.03,0.98,16.82,17.92,0.0,1.83,1.81,0.42,0.53
§_,1466,9.85,9.9,9.85,9.9,0.05,8.11,4,30.13,0.0,1100,-18.18,15.06,0.32,2222,1.34,10.56,56.22,0.66,11.12,2.13,0.0,-3.25,-3.36,-0.82,-2.11
§_,1472,21.0,21.0,20.5,20.85,-0.4,8.24,14,30.13,0.0,890,-50.83,7.42,0.33,0,2.83,4.13,63.7,2.81,4.27,4.97,0.0,-5.05,-5.69,-0.97,-3.08
§_,1468,10.15,10.25,9.4,10.25,0.05,8.21,21,30.13,0.0,1644,0.0,6.46,0.33,0,1.52,1.45,57.54,1.59,16.04,10.42,0.0,-8.32,9.31,1.07,2.05
§_,1471,4.31,4.37,4.28,4.36,0.04,8.22,85,15.15,0.0,634,0.0,7.68,0.33,0,0.0,2.03,38.4,0.57,14.54,-4.24,0.0,-24.53,-2.26,-0.11,-0.37
§_,1506,21.65,21.65,21.1,21.3,-0.15,8.39,132,15.82,0.0,2609,0.71,10.01,0.34,439,1.36,2.39,54.35,2.13,12.25,12.17,0.0,-9.09,5.4,0.77,1.23
§_,1475,8.8,9.38,8.67,9.31,0.71,8.3,11,30.13,0.0,149,-81.38,3.45,0.34,153,4.78,0.83,74.32,2.7,1.6,-151.85,0.0,-185.18,-187.63,-21.38,-65.68
§_,1512,8.53,8.6,8.53,8.6,0.0,8.49,26,15.82,0.0,1563,-30.65,3.87,0.35,1483,2.55,3.55,75.68,2.22,18.18,3.97,0.0,-6.05,-8.81,-1.65,-7.69
§_,1529,2.61,2.7,2.61,2.7,-0.06,8.8,53,15.82,0.0,431,-17.43,1.14,0.37,1944,3.0,0.14,10.0,2.37,15.97,12.99,0.0,2.69,-3.46,-0.39,-0.43
§_,1538,5.41,5.65,5.41,5.59,0.09,8.89,52,15.82,0.0,314,-25.27,6.01,0.38,0,2.99,1.68,72.76,0.93,5.61,14.8,0.0,-29.01,-7.79,-0.33,-2.09
§_,1616,4.43,4.48,4.38,4.48,0.03,9.33,66,14.36,0.0,870,-26.56,8.47,0.4,2355,1.81,3.89,50.35,0.53,19.41,8.62,0.0,1.28,0.17,-0.06,-0.23
§_,1732,9.46,9.71,9.45,9.71,-0.03,9.89,32,22.47,0.0,412,-22.01,9.92,0.43,0,1.16,3.26,24.06,0.98,4.24,42.54,0.0,0.26,-0.58,-0.22,0.0
§_,1805,9.1,9.29,9.01,9.28,-0.07,10.08,22,30.3,0.0,745,-29.7,7.76,0.45,0,1.77,0.0,55.49,1.2,8.03,0.0,0.0,0.0,0.0,-2.26,-5.31
§_,1806,7.0,7.04,6.95,7.04,0.01,10.09,238,39.87,0.0,3079,-15.79,15.36,0.45,0,1.26,2.77,41.85,0.46,43.73,26.64,0.0,-4.97,-10.47,-0.87,-1.83
§_,1903,29.6,30.0,29.4,30.0,0.5,10.16,22,11.54,0.0,7801,-8.12,10.31,0.46,0,1.25,0.14,58.77,2.91,26.0,-3.04,0.0,-154.84,-106.32,-0.51,-1.41
§_,2014,11.8,11.8,11.45,11.6,-0.05,10.28,7043,35.73,0.0,16652,-6.45,10.1,0.47,10716,2.16,9.05,57.0,1.15,143.55,8.78,0.0,5.94,6.87,2.84,6.4
§_,2007,4.94,4.94,4.76,4.9,0.01,10.23,207,35.73,0.0,2600,-3.16,6.32,0.47,4792,1.72,4.19,73.45,0.78,53.07,5.85,0.0,2.93,0.97,0.22,0.29
§_,2022,6.45,6.5,6.42,6.49,0.07,10.32,421,35.73,0.0,3114,-29.91,11.28,0.47,1976,1.59,7.82,62.29,0.58,47.98,6.44,0.0,1.53,0.62,0.44,0.1
§_,2009,9.26,9.29,9.25,9.26,0.0,10.24,117,35.73,0.0,3330,-33.14,10.49,0.47,2768,2.16,2.09,27.88,0.88,35.96,-6.17,0.0,-8.06,8.15,1.35,1.88
§_,2008,12.4,12.4,12.4,12.4,0.1,10.24,13,35.73,0.0,2491,8.3,11.94,0.47,1695,1.13,1.97,53.58,1.04,20.09,-1.3,0.0,-11.44,1.86,0.31,0.3
§_,2028,7.7,7.7,7.5,7.57,0.26,10.39,161,35.73,0.0,2466,-21.96,6.8,0.48,7869,2.04,8.43,67.08,1.11,32.57,4.89,0.0,3.6,3.63,1.74,0.0
§_,2025,2.15,2.15,2.15,2.15,-0.23,10.35,565,25.88,0.0,605,-21.53,3.59,0.48,4366,3.03,2.02,54.7,0.6,28.12,-7.15,0.0,-9.12,-8.78,-2.19,-4.79
§_,2038,8.83,8.83,8.42,8.51,-0.5,10.5,1018,35.73,0.0,1543,0.12,20.02,0.49,0,2.93,8.86,49.85,0.43,18.13,-5.98,0.0,-8.04,-8.17,-1.2,-2.58
§_,2102,11.05,11.05,10.9,10.95,-0.1,10.62,226,25.36,0.0,5183,-19.19,18.77,0.49,673,1.12,2.78,42.43,0.58,47.33,7.1,0.0,-22.92,-26.12,-2.09,-3.77
